COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
Lake,2017,Race/ethnicity,Hispanic,All ages,93,72.1,
Lassen,2017,Race/ethnicity,Hispanic,All ages,14,35.8,
Los Angeles,2017,Race/ethnicity,Hispanic,All ages,"24,959",48.5,
Madera,2017,Race/ethnicity,Hispanic,All ages,680,65.7,
Marin,2017,Race/ethnicity,Hispanic,All ages,144,31.2,
Mariposa,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2017,Race/ethnicity,Hispanic,All ages,127,52.1,
Merced,2017,Race/ethnicity,Hispanic,All ages,"1,258",72.5,
Modoc,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2017,Race/ethnicity,Hispanic,All ages,14,34.8,
Monterey,2017,Race/ethnicity,Hispanic,All ages,"1,210",43.5,
Napa,2017,Race/ethnicity,Hispanic,All ages,187,38.8,
Nevada,2017,Race/ethnicity,Hispanic,All ages,32,31.9,
Orange,2017,Race/ethnicity,Hispanic,All ages,"3,846",32.4,
Placer,2017,Race/ethnicity,Hispanic,All ages,163,29.5,
Plumas,2017,Race/ethnicity,Hispanic,All ages,11,,Rate not available due to statistical instability
Riverside,2017,Race/ethnicity,Hispanic,All ages,"4,365",36.5,
Sacramento,2017,Race/ethnicity,Hispanic,All ages,"2,305",61.6,
San Benito,2017,Race/ethnicity,Hispanic,All ages,237,67.4,
San Bernardino,2017,Race/ethnicity,Hispanic,All ages,"5,105",42,
San Diego,2017,Race/ethnicity,Hispanic,All ages,"4,114",32.8,
San Francisco,2017,Race/ethnicity,Hispanic,All ages,728,56.1,
San Joaquin,2017,Race/ethnicity,Hispanic,All ages,"1,738",52.5,
San Luis Obispo,2017,Race/ethnicity,Hispanic,All ages,203,28.9,
San Mateo,2017,Race/ethnicity,Hispanic,All ages,943,47.3,
Santa Barbara,2017,Race/ethnicity,Hispanic,All ages,742,32.8,
Santa Clara,2017,Race/ethnicity,Hispanic,All ages,"2,485",45.4,
Santa Cruz,2017,Race/ethnicity,Hispanic,All ages,340,32.4,
Shasta,2017,Race/ethnicity,Hispanic,All ages,48,25.6,
Sierra,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2017,Race/ethnicity,Hispanic,All ages,12,21,
Solano,2017,Race/ethnicity,Hispanic,All ages,808,67.3,
Sonoma,2017,Race/ethnicity,Hispanic,All ages,584,42.2,
Stanislaus,2017,Race/ethnicity,Hispanic,All ages,"1,378",51.1,
Sutter,2017,Race/ethnicity,Hispanic,All ages,89,27.6,
Tehama,2017,Race/ethnicity,Hispanic,All ages,102,58.6,
Trinity,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2017,Race/ethnicity,Hispanic,All ages,"1,034",29.8,
Tuolumne,2017,Race/ethnicity,Hispanic,All ages,20,30.7,
Ventura,2017,Race/ethnicity,Hispanic,All ages,"1,373",34.8,
Yolo,2017,Race/ethnicity,Hispanic,All ages,328,45.2,
Yuba,2017,Race/ethnicity,Hispanic,All ages,83,38.9,
California,2017,Race/ethnicity,Asian/PI,All ages,"10,945",21.2,
Alameda,2017,Race/ethnicity,Asian/PI,All ages,"1,112",25.2,
Alpine,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Amador,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2017,Race/ethnicity,Asian/PI,All ages,21,25.4,
Calaveras,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Contra Costa,2017,Race/ethnicity,Asian/PI,All ages,579,34,
Del Norte,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2017,Race/ethnicity,Asian/PI,All ages,21,34.1,
Fresno,2017,Race/ethnicity,Asian/PI,All ages,208,21.5,
Glenn,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2017,Race/ethnicity,Asian/PI,All ages,14,38.5,
Imperial,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Kern,2017,Race/ethnicity,Asian/PI,All ages,98,28.3,
Kings,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2017,Race/ethnicity,Asian/PI,All ages,"2,515",18.6,
Madera,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2017,Race/ethnicity,Asian/PI,All ages,18,12.2,
Mariposa,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2017,Race/ethnicity,Asian/PI,All ages,54,29.6,
Modoc,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2017,Race/ethnicity,Asian/PI,All ages,67,30.8,
Napa,2017,Race/ethnicity,Asian/PI,All ages,38,36,
Nevada,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2017,Race/ethnicity,Asian/PI,All ages,792,13.7,
Placer,2017,Race/ethnicity,Asian/PI,All ages,61,25.6,
Plumas,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Riverside,2017,Race/ethnicity,Asian/PI,All ages,249,18,
Sacramento,2017,Race/ethnicity,Asian/PI,All ages,957,41.4,
San Benito,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2017,Race/ethnicity,Asian/PI,All ages,244,17.3,
San Diego,2017,Race/ethnicity,Asian/PI,All ages,733,21.2,
San Francisco,2017,Race/ethnicity,Asian/PI,All ages,476,20.6,
San Joaquin,2017,Race/ethnicity,Asian/PI,All ages,412,38,
San Luis Obispo,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2017,Race/ethnicity,Asian/PI,All ages,456,24.2,
Santa Barbara,2017,Race/ethnicity,Asian/PI,All ages,32,16.5,
Santa Clara,2017,Race/ethnicity,Asian/PI,All ages,939,14.7,
Santa Cruz,2017,Race/ethnicity,Asian/PI,All ages,12,14.4,
Shasta,2017,Race/ethnicity,Asian/PI,All ages,23,52.5,
Sierra,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Siskiyou,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2017,Race/ethnicity,Asian/PI,All ages,429,70.8,
Sonoma,2017,Race/ethnicity,Asian/PI,All ages,61,36.9,
Stanislaus,2017,Race/ethnicity,Asian/PI,All ages,66,21.3,
Sutter,2017,Race/ethnicity,Asian/PI,All ages,30,20.5,
Tehama,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2017,Race/ethnicity,Asian/PI,All ages,22,17.2,
Tuolumne,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Ventura,2017,Race/ethnicity,Asian/PI,All ages,67,12.3,
Yolo,2017,Race/ethnicity,Asian/PI,All ages,51,60.5,
Yuba,2017,Race/ethnicity,Asian/PI,All ages,14,33.8,
California,2017,Race/ethnicity,AI/AN,All ages,734,46.1,
Alameda,2017,Race/ethnicity,AI/AN,All ages,36,75,
Alpine,2017,Race/ethnicity,AI/AN,All ages,0,0,
Amador,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2017,Race/ethnicity,AI/AN,All ages,0,0,
Contra Costa,2017,Race/ethnicity,AI/AN,All ages,33,125.5,
Del Norte,2017,Race/ethnicity,AI/AN,All ages,16,93.1,
El Dorado,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2017,Race/ethnicity,AI/AN,All ages,17,28.2,
Glenn,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2017,Race/ethnicity,AI/AN,All ages,24,31.1,
Imperial,2017,Race/ethnicity,AI/AN,All ages,0,0,
Inyo,2017,Race/ethnicity,AI/AN,All ages,20,121.9,
Kern,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kings,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2017,Race/ethnicity,AI/AN,All ages,15,86.4,
Lassen,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2017,Race/ethnicity,AI/AN,All ages,57,29.8,
Madera,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2017,Race/ethnicity,AI/AN,All ages,30,87.2,
Merced,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2017,Race/ethnicity,AI/AN,All ages,0,0,
Monterey,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2017,Race/ethnicity,AI/AN,All ages,12,25.3,
Placer,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2017,Race/ethnicity,AI/AN,All ages,45,42.8,
Sacramento,2017,Race/ethnicity,AI/AN,All ages,42,50.5,
San Benito,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2017,Race/ethnicity,AI/AN,All ages,151,182.6,
San Diego,2017,Race/ethnicity,AI/AN,All ages,44,30.9,
San Francisco,2017,Race/ethnicity,AI/AN,All ages,27,211.5,
San Joaquin,2017,Race/ethnicity,AI/AN,All ages,16,45.5,
San Luis Obispo,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Barbara,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Cruz,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2017,Race/ethnicity,AI/AN,All ages,18,46.7,
Sierra,2017,Race/ethnicity,AI/AN,All ages,0,0,
Siskiyou,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2017,Race/ethnicity,AI/AN,All ages,11,,Rate not available due to statistical instability
Sonoma,2017,Race/ethnicity,AI/AN,All ages,23,60.1,
Stanislaus,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sutter,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tuolumne,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2018,Total population,All ages,All ages,"163,807",42.4,
Alameda,2018,Total population,All ages,All ages,"7,795",48.6,
Alpine,2018,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2018,Total population,All ages,All ages,137,44.3,
Butte,2018,Total population,All ages,All ages,907,42.2,
Calaveras,2018,Total population,All ages,All ages,186,52.3,
Colusa,2018,Total population,All ages,All ages,118,53.6,
Contra Costa,2018,Total population,All ages,All ages,"6,001",55.4,
Del Norte,2018,Total population,All ages,All ages,132,53.6,
El Dorado,2018,Total population,All ages,All ages,564,34.1,
Fresno,2018,Total population,All ages,All ages,"6,935",67,
Glenn,2018,Total population,All ages,All ages,101,35.9,
Humboldt,2018,Total population,All ages,All ages,688,53.4,
Imperial,2018,Total population,All ages,All ages,"1,147",58.1,
Inyo,2018,Total population,All ages,All ages,81,49.2,
Kern,2018,Total population,All ages,All ages,"4,299",46.2,
Kings,2018,Total population,All ages,All ages,833,53.7,
Lake,2018,Total population,All ages,All ages,504,86.7,
Lassen,2018,Total population,All ages,All ages,112,37.9,
Los Angeles,2018,Total population,All ages,All ages,"46,729",47.1,
Madera,2018,Total population,All ages,All ages,813,50.9,
Marin,2018,Total population,All ages,All ages,583,24.3,
Mariposa,2018,Total population,All ages,All ages,68,48,
Mendocino,2018,Total population,All ages,All ages,507,62.4,
Merced,2018,Total population,All ages,All ages,"1,709",60,
Modoc,2018,Total population,All ages,All ages,86,109.3,
Mono,2018,Total population,All ages,All ages,65,54.9,
Monterey,2018,Total population,All ages,All ages,"1,615",36.3,
Napa,2018,Total population,All ages,All ages,511,37.4,
Nevada,2018,Total population,All ages,All ages,219,26.1,
Orange,2018,Total population,All ages,All ages,"8,183",26.5,
Placer,2018,Total population,All ages,All ages,"1,154",33,
Plumas,2018,Total population,All ages,All ages,94,61.5,
Riverside,2018,Total population,All ages,All ages,"8,935",37.9,
Sacramento,2018,Total population,All ages,All ages,"9,656",64.5,
San Benito,2018,Total population,All ages,All ages,318,56.7,
San Bernardino,2018,Total population,All ages,All ages,"10,343",47.4,
San Diego,2018,Total population,All ages,All ages,"9,436",28.7,
San Francisco,2018,Total population,All ages,All ages,"2,859",36.1,
San Joaquin,2018,Total population,All ages,All ages,"4,527",60.5,
San Luis Obispo,2018,Total population,All ages,All ages,693,28.3,
San Mateo,2018,Total population,All ages,All ages,"2,051",27.5,
Santa Barbara,2018,Total population,All ages,All ages,"1,213",27.5,
Santa Clara,2018,Total population,All ages,All ages,"5,095",26.4,
Santa Cruz,2018,Total population,All ages,All ages,725,27.9,
Shasta,2018,Total population,All ages,All ages,608,38.6,
Sierra,2018,Total population,All ages,All ages,12,52.5,
Siskiyou,2018,Total population,All ages,All ages,138,34.1,
Solano,2018,Total population,All ages,All ages,"3,354",79.6,
Sonoma,2018,Total population,All ages,All ages,"1,770",38,
Stanislaus,2018,Total population,All ages,All ages,"2,904",52.8,
Sutter,2018,Total population,All ages,All ages,291,29.9,
Tehama,2018,Total population,All ages,All ages,288,48,
Trinity,2018,Total population,All ages,All ages,57,60.1,
Tulare,2018,Total population,All ages,All ages,"1,600",32.2,
Tuolumne,2018,Total population,All ages,All ages,220,47.5,
Ventura,2018,Total population,All ages,All ages,"2,469",30.4,
Yolo,2018,Total population,All ages,All ages,807,38.9,
Yuba,2018,Total population,All ages,All ages,333,43,
California,2018,Child vs. adult,0–17 years,0–17 years,"59,753",64.7,
Alameda,2018,Child vs. adult,0–17 years,0–17 years,"2,552",72.6,
Alpine,2018,Child vs. adult,0–17 years,0–17 years,0,0,
Amador,2018,Child vs. adult,0–17 years,0–17 years,34,60.9,
Butte,2018,Child vs. adult,0–17 years,0–17 years,201,44,
Calaveras,2018,Child vs. adult,0–17 years,0–17 years,50,70.6,
Colusa,2018,Child vs. adult,0–17 years,0–17 years,50,84.3,
Contra Costa,2018,Child vs. adult,0–17 years,0–17 years,"1,924",77.9,
Del Norte,2018,Child vs. adult,0–17 years,0–17 years,46,79.7,
El Dorado,2018,Child vs. adult,0–17 years,0–17 years,131,38.1,
Fresno,2018,Child vs. adult,0–17 years,0–17 years,"3,687",129.6,
Glenn,2018,Child vs. adult,0–17 years,0–17 years,31,41.7,
Humboldt,2018,Child vs. adult,0–17 years,0–17 years,138,48.4,
Imperial,2018,Child vs. adult,0–17 years,0–17 years,597,108.5,
Inyo,2018,Child vs. adult,0–17 years,0–17 years,25,64.8,
Kern,2018,Child vs. adult,0–17 years,0–17 years,"1,909",74.3,
Kings,2018,Child vs. adult,0–17 years,0–17 years,368,79.8,
Lake,2018,Child vs. adult,0–17 years,0–17 years,113,82.8,
Lassen,2018,Child vs. adult,0–17 years,0–17 years,24,44.6,
Los Angeles,2018,Child vs. adult,0–17 years,0–17 years,"17,797",77.5,
Madera,2018,Child vs. adult,0–17 years,0–17 years,486,115.5,
Marin,2018,Child vs. adult,0–17 years,0–17 years,168,34.3,
Mariposa,2018,Child vs. adult,0–17 years,0–17 years,12,44.9,
Mendocino,2018,Child vs. adult,0–17 years,0–17 years,153,79.8,
Merced,2018,Child vs. adult,0–17 years,0–17 years,676,84.8,
Modoc,2018,Child vs. adult,0–17 years,0–17 years,33,186,
Mono,2018,Child vs. adult,0–17 years,0–17 years,18,64.9,
Monterey,2018,Child vs. adult,0–17 years,0–17 years,570,49,
Napa,2018,Child vs. adult,0–17 years,0–17 years,157,54.9,
Nevada,2018,Child vs. adult,0–17 years,0–17 years,51,32.6,
Orange,2018,Child vs. adult,0–17 years,0–17 years,"3,107",43.4,
Placer,2018,Child vs. adult,0–17 years,0–17 years,309,41.9,
Plumas,2018,Child vs. adult,0–17 years,0–17 years,30,97,
Riverside,2018,Child vs. adult,0–17 years,0–17 years,"3,309",55.6,
Sacramento,2018,Child vs. adult,0–17 years,0–17 years,"2,847",78.5,
San Benito,2018,Child vs. adult,0–17 years,0–17 years,108,76.8,
San Bernardino,2018,Child vs. adult,0–17 years,0–17 years,"3,806",66,
San Diego,2018,Child vs. adult,0–17 years,0–17 years,"3,644",44.7,
San Francisco,2018,Child vs. adult,0–17 years,0–17 years,927,65,
San Joaquin,2018,Child vs. adult,0–17 years,0–17 years,"1,486",74,
San Luis Obispo,2018,Child vs. adult,0–17 years,0–17 years,199,39.6,
San Mateo,2018,Child vs. adult,0–17 years,0–17 years,660,40.5,
Santa Barbara,2018,Child vs. adult,0–17 years,0–17 years,433,42.3,
Santa Clara,2018,Child vs. adult,0–17 years,0–17 years,"1,500",33.4,
Santa Cruz,2018,Child vs. adult,0–17 years,0–17 years,212,35.3,
Shasta,2018,Child vs. adult,0–17 years,0–17 years,180,48,
Sierra,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2018,Child vs. adult,0–17 years,0–17 years,33,38.4,
Solano,2018,Child vs. adult,0–17 years,0–17 years,"1,022",102.6,
Sonoma,2018,Child vs. adult,0–17 years,0–17 years,490,50.7,
Stanislaus,2018,Child vs. adult,0–17 years,0–17 years,"1,074",73.6,
Sutter,2018,Child vs. adult,0–17 years,0–17 years,104,42.1,
Tehama,2018,Child vs. adult,0–17 years,0–17 years,95,60.9,
Trinity,2018,Child vs. adult,0–17 years,0–17 years,21,102.7,
Tulare,2018,Child vs. adult,0–17 years,0–17 years,783,54.6,
Tuolumne,2018,Child vs. adult,0–17 years,0–17 years,47,55.6,
Ventura,2018,Child vs. adult,0–17 years,0–17 years,946,48.4,
Yolo,2018,Child vs. adult,0–17 years,0–17 years,263,51.8,
Yuba,2018,Child vs. adult,0–17 years,0–17 years,106,49.2,
California,2018,Child vs. adult,18+ years,18+ years,"104,054",34.6,
Alameda,2018,Child vs. adult,18+ years,18+ years,"5,243",40.2,
Alpine,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2018,Child vs. adult,18+ years,18+ years,103,38.5,
Butte,2018,Child vs. adult,18+ years,18+ years,706,41.6,
Calaveras,2018,Child vs. adult,18+ years,18+ years,136,45.9,
Colusa,2018,Child vs. adult,18+ years,18+ years,68,42.9,
Contra Costa,2018,Child vs. adult,18+ years,18+ years,"4,077",47.6,
Del Norte,2018,Child vs. adult,18+ years,18+ years,86,44.5,
El Dorado,2018,Child vs. adult,18+ years,18+ years,433,32.7,
Fresno,2018,Child vs. adult,18+ years,18+ years,"3,248",45.2,
Glenn,2018,Child vs. adult,18+ years,18+ years,70,33.9,
Humboldt,2018,Child vs. adult,18+ years,18+ years,550,55.1,
Imperial,2018,Child vs. adult,18+ years,18+ years,550,40.6,
Inyo,2018,Child vs. adult,18+ years,18+ years,56,43.8,
Kern,2018,Child vs. adult,18+ years,18+ years,"2,390",36.4,
Kings,2018,Child vs. adult,18+ years,18+ years,465,44.6,
Lake,2018,Child vs. adult,18+ years,18+ years,391,88.1,
Lassen,2018,Child vs. adult,18+ years,18+ years,88,35.5,
Los Angeles,2018,Child vs. adult,18+ years,18+ years,"28,932",36.6,
Madera,2018,Child vs. adult,18+ years,18+ years,327,28.5,
Marin,2018,Child vs. adult,18+ years,18+ years,415,20.8,
Mariposa,2018,Child vs. adult,18+ years,18+ years,56,49.1,
Mendocino,2018,Child vs. adult,18+ years,18+ years,354,56.3,
Merced,2018,Child vs. adult,18+ years,18+ years,"1,033",51.4,
Modoc,2018,Child vs. adult,18+ years,18+ years,53,82.6,
Mono,2018,Child vs. adult,18+ years,18+ years,47,51.4,
Monterey,2018,Child vs. adult,18+ years,18+ years,"1,045",31.9,
Napa,2018,Child vs. adult,18+ years,18+ years,354,31.4,
Nevada,2018,Child vs. adult,18+ years,18+ years,168,23.9,
Orange,2018,Child vs. adult,18+ years,18+ years,"5,076",20.6,
Placer,2018,Child vs. adult,18+ years,18+ years,845,29.9,
Plumas,2018,Child vs. adult,18+ years,18+ years,64,49.2,
Riverside,2018,Child vs. adult,18+ years,18+ years,"5,626",31.7,
Sacramento,2018,Child vs. adult,18+ years,18+ years,"6,809",59.6,
San Benito,2018,Child vs. adult,18+ years,18+ years,210,49.7,
San Bernardino,2018,Child vs. adult,18+ years,18+ years,"6,537",40.9,
San Diego,2018,Child vs. adult,18+ years,18+ years,"5,792",23.2,
San Francisco,2018,Child vs. adult,18+ years,18+ years,"1,932",26.1,
San Joaquin,2018,Child vs. adult,18+ years,18+ years,"3,041",55.8,
San Luis Obispo,2018,Child vs. adult,18+ years,18+ years,494,24.3,
San Mateo,2018,Child vs. adult,18+ years,18+ years,"1,391",22.9,
Santa Barbara,2018,Child vs. adult,18+ years,18+ years,780,22.4,
Santa Clara,2018,Child vs. adult,18+ years,18+ years,"3,595",23.9,
Santa Cruz,2018,Child vs. adult,18+ years,18+ years,513,25.4,
Shasta,2018,Child vs. adult,18+ years,18+ years,428,35.3,
Sierra,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2018,Child vs. adult,18+ years,18+ years,105,32.7,
Solano,2018,Child vs. adult,18+ years,18+ years,"2,332",71.6,
Sonoma,2018,Child vs. adult,18+ years,18+ years,"1,280",33.6,
Stanislaus,2018,Child vs. adult,18+ years,18+ years,"1,830",45.6,
Sutter,2018,Child vs. adult,18+ years,18+ years,187,25.7,
Tehama,2018,Child vs. adult,18+ years,18+ years,193,43.5,
Trinity,2018,Child vs. adult,18+ years,18+ years,36,45.3,
Tulare,2018,Child vs. adult,18+ years,18+ years,817,24.4,
Tuolumne,2018,Child vs. adult,18+ years,18+ years,173,44.6,
Ventura,2018,Child vs. adult,18+ years,18+ years,"1,523",24.2,
Yolo,2018,Child vs. adult,18+ years,18+ years,544,34.5,
Yuba,2018,Child vs. adult,18+ years,18+ years,227,40.8,
California,2018,Age groups,0–4 years,0–4 years,"19,245",77.9,
Alameda,2018,Age groups,0–4 years,0–4 years,885,91,
Alpine,2018,Age groups,0–4 years,0–4 years,0,0,
Amador,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2018,Age groups,0–4 years,0–4 years,74,60.2,
Calaveras,2018,Age groups,0–4 years,0–4 years,15,82.3,
Colusa,2018,Age groups,0–4 years,0–4 years,18,116.2,
Contra Costa,2018,Age groups,0–4 years,0–4 years,577,90.2,
Del Norte,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2018,Age groups,0–4 years,0–4 years,32,40.4,
Fresno,2018,Age groups,0–4 years,0–4 years,"1,421",184,
Glenn,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2018,Age groups,0–4 years,0–4 years,44,58.5,
Imperial,2018,Age groups,0–4 years,0–4 years,121,73.9,
Inyo,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2018,Age groups,0–4 years,0–4 years,622,89.7,
Kings,2018,Age groups,0–4 years,0–4 years,113,98.6,
Lake,2018,Age groups,0–4 years,0–4 years,29,78.1,
Lassen,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2018,Age groups,0–4 years,0–4 years,"5,488",88.5,
Madera,2018,Age groups,0–4 years,0–4 years,203,180.1,
Marin,2018,Age groups,0–4 years,0–4 years,61,52.5,
Mariposa,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2018,Age groups,0–4 years,0–4 years,46,90.6,
Merced,2018,Age groups,0–4 years,0–4 years,226,109.2,
Modoc,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2018,Age groups,0–4 years,0–4 years,154,49.1,
Napa,2018,Age groups,0–4 years,0–4 years,53,72.9,
Nevada,2018,Age groups,0–4 years,0–4 years,13,31.4,
Orange,2018,Age groups,0–4 years,0–4 years,"1,048",55.3,
Placer,2018,Age groups,0–4 years,0–4 years,109,58.5,
Plumas,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2018,Age groups,0–4 years,0–4 years,954,61.3,
Sacramento,2018,Age groups,0–4 years,0–4 years,838,85.3,
San Benito,2018,Age groups,0–4 years,0–4 years,25,68.3,
San Bernardino,2018,Age groups,0–4 years,0–4 years,"1,157",75.9,
